id,department,priority,status,staff_id,created_at,resolved_at,complexity
14973,OPD,Low,Resolved,51,2025-10-10 01:58:19.204340,2025-10-12 20:21:37.814736,6
14974,RAD,Medium,Resolved,90,2026-02-05 01:41:19.204340,2026-02-05 10:10:57.067653,8
14975,PEDS,High,Resolved,74,2025-06-02 03:09:19.204340,2025-06-02 16:59:15.971631,10
14976,PEDS,Medium,Resolved,70,2025-03-18 07:19:19.204340,2025-03-18 19:54:12.316217,10
14977,CARD,Low,Resolved,93,2025-12-27 07:21:19.204340,2025-12-28 00:23:04.220728,7
14978,PEDS,Medium,Resolved,62,2025-06-29 01:43:19.204340,2025-06-29 08:50:04.482489,1
14979,ER,Medium,Resolved,10,2025-03-23 10:53:19.204340,2025-03-24 02:02:29.663013,8
14980,ER,High,Resolved,13,2026-01-09 05:14:19.204340,2026-01-09 11:50:50.046412,5
14981,SURG,Low,Resolved,35,2025-06-18 06:01:19.204340,2025-06-19 23:20:31.414984,8
14982,RAD,Low,Resolved,83,2025-05-12 03:59:19.204340,2025-05-13 17:16:06.759573,10
14983,ICU,Low,Resolved,17,2025-04-27 06:54:19.204340,2025-04-29 02:26:56.966180,6
14984,PEDS,High,Resolved,74,2025-09-01 06:44:19.204340,2025-09-01 10:17:48.610371,10
14985,CARD,Low,Resolved,96,2025-05-27 23:48:19.204340,2025-05-29 10:00:24.802395,7
14986,OPD,Medium,Resolved,46,2025-07-01 10:15:19.204340,2025-07-01 19:11:43.755916,8
14987,CARD,Low,Resolved,99,2025-11-13 08:18:19.204340,2025-11-15 03:16:27.374555,5
14988,ICU,Medium,Resolved,24,2025-10-06 01:54:19.204340,2025-10-06 20:33:24.782610,4
14989,RAD,Medium,Resolved,76,2025-11-18 04:49:19.204340,2025-11-18 13:29:02.101910,6
14990,PEDS,Medium,Resolved,75,2025-11-08 08:54:19.204340,2025-11-08 16:42:35.868077,1
14991,CARD,High,Resolved,97,2025-11-14 07:22:19.204340,2025-11-14 10:33:44.056367,10
14992,CARD,Low,Resolved,98,2025-08-05 19:39:19.204340,2025-08-08 17:39:34.774552,8
14993,ICU,High,Resolved,18,2025-05-11 03:04:19.204340,2025-05-11 06:16:53.026727,4
14994,SURG,Low,Resolved,36,2025-10-17 08:57:19.204340,2025-10-20 05:24:28.031975,8
14995,ER,High,Resolved,11,2025-04-25 06:38:19.204340,2025-04-25 09:06:32.975037,6
14996,RAD,Medium,Resolved,88,2026-02-17 05:30:19.204340,2026-02-17 14:34:01.457812,1
14997,ICU,Medium,Resolved,30,2026-02-28 07:22:19.204340,2026-02-28 15:20:16.993012,5
14998,PEDS,Medium,Resolved,63,2025-10-21 21:06:19.204340,2025-10-22 08:36:19.742584,3
14999,OPD,Low,Resolved,59,2025-11-09 02:11:19.204340,2025-11-11 17:59:40.505564,4
15000,PEDS,Low,Resolved,70,2025-08-07 04:23:19.204340,2025-08-09 00:33:01.586407,9
15001,ER,High,Resolved,4,2026-02-20 01:50:19.204340,2026-02-20 10:03:54.187919,5
15002,ER,Low,Resolved,2,2025-05-08 18:57:19.204340,2025-05-09 23:25:25.395763,7
15003,PEDS,High,Resolved,69,2025-07-15 00:42:19.204340,2025-07-15 05:37:05.266872,7
15004,ICU,Medium,Resolved,20,2026-01-02 03:03:19.204340,2026-01-02 14:24:56.898117,9
15005,ICU,Medium,Resolved,28,2025-06-20 03:44:19.204340,2025-06-20 17:40:58.701791,10
15006,RAD,Low,Resolved,85,2025-08-29 00:57:19.204340,2025-09-01 04:14:04.133127,7
15007,RAD,Low,Resolved,83,2025-08-06 22:03:19.204340,2025-08-07 13:45:15.841304,10
15008,CARD,Low,Resolved,104,2025-12-25 04:48:19.204340,2025-12-25 18:35:42.565410,5
15009,CARD,Medium,Resolved,99,2025-11-30 21:33:19.204340,2025-12-01 20:42:19.747530,3
15010,ICU,Medium,Resolved,19,2025-06-12 10:08:19.204340,2025-06-12 22:51:20.213097,6
15011,ICU,Medium,Resolved,16,2025-09-11 23:44:19.204340,2025-09-12 07:52:15.490828,2
15012,OPD,High,Resolved,50,2025-09-27 08:30:19.204340,2025-09-27 11:16:30.759906,7
15013,ER,High,Resolved,1,2026-02-28 03:34:19.204340,2026-02-28 05:21:36.955277,10
15014,ER,Medium,Resolved,11,2025-05-06 01:59:19.204340,2025-05-06 06:17:52.622232,6
15015,RAD,Medium,Resolved,86,2025-07-28 00:01:19.204340,2025-07-28 10:33:11.694488,8
15016,SURG,Low,Resolved,41,2025-12-12 08:25:19.204340,2025-12-14 04:59:04.514748,5
15017,ICU,High,Resolved,18,2025-10-13 07:36:19.204340,2025-10-13 13:00:50.150350,6
15018,RAD,Low,Resolved,88,2025-06-11 22:07:19.204340,2025-06-12 22:06:17.947169,10
15019,PEDS,Medium,Resolved,71,2025-06-12 05:02:19.204340,2025-06-12 16:17:26.901431,8
15020,ICU,Low,Resolved,25,2025-12-22 07:36:19.204340,2025-12-23 12:17:32.747981,7
15021,ICU,Medium,Resolved,21,2025-06-02 06:41:19.204340,2025-06-02 21:27:01.927510,9
15022,RAD,Medium,Resolved,89,2025-12-31 09:43:19.204340,2025-12-31 16:03:25.916023,9
15023,ER,Low,Resolved,7,2025-07-24 01:05:19.204340,2025-07-26 17:55:13.094338,1
15024,OPD,Medium,Resolved,54,2025-08-12 02:47:19.204340,2025-08-12 17:43:06.312337,2
15025,OPD,Medium,Resolved,52,2025-11-21 07:01:19.204340,2025-11-22 03:38:43.833533,1
15026,SURG,Medium,Resolved,38,2025-08-12 02:25:19.204340,2025-08-13 09:12:02.981843,3
15027,RAD,Low,Resolved,84,2025-11-20 22:14:19.204340,2025-11-22 05:29:40.458438,1
15028,RAD,Medium,Resolved,87,2025-05-25 10:44:19.204340,2025-05-25 16:25:47.041335,3
15029,RAD,Medium,Resolved,84,2025-06-20 06:01:19.204340,2025-06-20 10:41:51.680282,3
15030,CARD,Medium,Resolved,95,2025-06-16 03:16:19.204340,2025-06-16 10:11:02.788276,7
15031,RAD,Low,Resolved,85,2025-12-07 05:05:19.204340,2025-12-08 06:27:18.568686,1
15032,PEDS,Low,Resolved,66,2025-09-12 03:16:19.204340,2025-09-15 18:35:05.518092,4
15033,PEDS,Medium,Resolved,62,2025-03-13 04:07:19.204340,2025-03-14 07:18:34.981087,7
15034,CARD,Low,Resolved,91,2026-02-13 04:11:19.204340,2026-02-14 13:39:01.657307,5
15035,RAD,Low,Resolved,86,2025-06-05 03:35:19.204340,2025-06-06 13:01:39.547962,10
15036,ICU,High,Resolved,29,2025-04-21 03:05:19.204340,2025-04-21 06:15:18.889441,5
15037,RAD,Medium,Resolved,89,2025-12-20 22:39:19.204340,2025-12-21 09:38:59.380802,5
15038,CARD,Low,Resolved,102,2025-08-05 08:37:19.204340,2025-08-07 10:20:49.872719,3
15039,PEDS,High,Resolved,73,2025-06-13 04:45:19.204340,2025-06-13 05:25:47.629181,8
15040,SURG,Low,In Progress,35,2026-03-02 08:23:19.204340,,10
15041,ICU,High,Resolved,25,2025-07-11 01:03:19.204340,2025-07-11 04:25:29.661483,9
15042,SURG,Medium,Resolved,40,2025-05-20 22:29:19.204340,2025-05-21 20:14:11.721436,2
15043,SURG,High,Resolved,33,2025-08-05 05:10:19.204340,2025-08-05 08:11:41.849146,9
15044,PEDS,Medium,Resolved,61,2026-01-06 06:59:19.204340,2026-01-07 01:33:28.076892,1
15045,ER,High,Resolved,3,2025-08-17 21:14:19.204340,2025-08-18 00:41:40.175865,6
15046,ICU,Medium,Resolved,21,2025-09-03 04:54:19.204340,2025-09-03 17:42:15.813251,10
15047,ER,Low,Resolved,8,2025-10-17 04:24:19.204340,2025-10-18 13:29:39.612174,7
15048,ICU,Medium,Resolved,18,2025-09-21 21:35:19.204340,2025-09-22 13:58:49.134722,6
15049,RAD,Medium,Resolved,82,2025-09-16 03:54:19.204340,2025-09-16 15:10:27.636745,9
15050,OPD,Medium,Resolved,58,2025-08-04 01:40:19.204340,2025-08-04 13:34:28.410361,4
15051,SURG,Medium,Resolved,40,2025-04-21 01:53:19.204340,2025-04-21 06:00:49.890624,7
15052,OPD,High,Resolved,53,2025-12-29 09:25:19.204340,2025-12-29 10:52:49.764815,8
15053,OPD,Medium,Resolved,51,2026-02-09 03:00:19.204340,2026-02-09 20:22:52.106484,9
15054,CARD,Medium,Resolved,105,2025-05-31 04:18:19.204340,2025-05-31 08:39:26.362273,7
15055,OPD,High,Resolved,56,2025-04-17 03:03:19.204340,2025-04-17 04:02:22.523129,6
15056,SURG,Medium,Resolved,37,2025-09-17 06:26:19.204340,2025-09-17 15:36:09.232773,3
15057,CARD,High,Resolved,96,2025-03-30 20:22:19.204340,2025-03-31 01:21:01.892512,6
15058,CARD,Medium,Resolved,93,2025-11-24 10:03:19.204340,2025-11-25 07:03:56.506434,9
15059,RAD,Medium,Resolved,88,2025-09-21 03:19:19.204340,2025-09-21 17:36:45.722461,1
15060,ER,Medium,Resolved,5,2026-01-18 03:14:19.204340,2026-01-18 16:26:31.200331,5
15061,ER,Medium,Resolved,3,2025-03-14 04:12:19.204340,2025-03-14 15:34:17.065809,3
15062,PEDS,Low,Resolved,68,2025-06-09 06:25:19.204340,2025-06-10 05:26:24.615076,7
15063,RAD,Low,Resolved,85,2026-01-14 07:23:19.204340,2026-01-15 13:13:04.555525,3
15064,RAD,Medium,Resolved,83,2025-09-25 23:33:19.204340,2025-09-26 15:27:22.131830,4
15065,SURG,Medium,Resolved,33,2025-12-02 03:33:19.204340,2025-12-02 19:19:42.464733,10
15066,ICU,Medium,Resolved,22,2025-08-03 21:13:19.204340,2025-08-04 07:42:28.107821,9
15067,OPD,Medium,Resolved,47,2025-10-13 06:34:19.204340,2025-10-13 22:03:56.637258,8
15068,PEDS,Low,Resolved,74,2025-05-11 02:24:19.204340,2025-05-12 17:12:59.697521,8
15069,SURG,Low,Resolved,38,2025-07-26 12:30:19.204340,2025-07-27 07:27:34.759915,5
15070,SURG,Medium,Resolved,44,2026-02-28 20:42:19.204340,2026-03-01 15:38:50.373399,4
15071,RAD,Medium,Resolved,81,2025-11-03 11:17:19.204340,2025-11-04 00:48:18.168543,8
15072,CARD,Low,Resolved,93,2025-09-10 02:52:19.204340,2025-09-10 21:30:25.529929,8
15073,CARD,Medium,Resolved,94,2025-03-11 22:53:19.204340,2025-03-12 16:05:24.600363,2
15074,CARD,High,Resolved,92,2025-06-12 06:59:19.204340,2025-06-12 09:23:44.447251,7
15075,ER,High,Resolved,13,2025-12-28 09:23:19.204340,2025-12-28 14:15:38.207271,10
15076,ER,High,Resolved,12,2025-03-27 06:36:19.204340,2025-03-27 12:17:11.387886,2
15077,ICU,Medium,Resolved,16,2025-12-19 06:56:19.204340,2025-12-20 00:27:08.579080,7
15078,RAD,High,Resolved,86,2025-08-24 02:52:19.204340,2025-08-24 04:13:23.963611,3
15079,ICU,Low,Resolved,18,2025-08-11 22:49:19.204340,2025-08-13 13:05:08.162953,9
15080,ICU,Medium,Resolved,17,2025-12-24 21:27:19.204340,2025-12-25 01:18:53.343003,5
15081,OPD,Medium,Resolved,49,2026-01-11 06:41:19.204340,2026-01-11 19:21:42.328175,7
15082,ICU,Medium,Resolved,25,2025-12-02 08:04:19.204340,2025-12-02 18:27:02.667757,8
15083,PEDS,High,Resolved,73,2025-11-23 05:57:19.204340,2025-11-23 09:44:31.137451,1
15084,ICU,High,Resolved,20,2025-04-20 06:45:19.204340,2025-04-20 09:12:24.569824,9
15085,SURG,High,Resolved,45,2025-07-15 03:42:19.204340,2025-07-15 05:39:55.114931,6
15086,ER,Medium,Resolved,3,2025-06-20 21:30:19.204340,2025-06-21 12:47:24.416518,3
15087,CARD,Low,Resolved,104,2025-08-10 07:55:19.204340,2025-08-12 06:02:56.564907,6
15088,OPD,Low,Resolved,59,2025-11-15 04:29:19.204340,2025-11-15 22:39:59.142898,1
15089,CARD,High,Resolved,102,2025-09-07 08:07:19.204340,2025-09-07 12:44:59.073241,1
15090,SURG,Medium,Resolved,45,2025-08-10 07:14:19.204340,2025-08-10 23:11:20.856299,7
15091,RAD,Medium,Resolved,77,2025-08-06 01:55:19.204340,2025-08-06 14:06:37.380238,7
15092,CARD,Low,Resolved,105,2025-07-06 04:25:19.204340,2025-07-07 16:39:17.552461,7
15093,ER,Medium,Resolved,13,2025-05-15 02:39:19.204340,2025-05-15 12:09:31.704917,7
15094,CARD,Medium,Resolved,98,2025-03-10 01:55:19.204340,2025-03-10 06:36:54.269527,1
15095,OPD,High,Resolved,57,2025-03-16 22:13:19.204340,2025-03-17 09:43:58.437571,4
15096,ER,High,Resolved,9,2025-09-26 01:35:19.204340,2025-09-26 05:31:58.934823,10
15097,ER,Medium,Resolved,2,2026-02-12 07:10:19.204340,2026-02-13 00:04:12.528220,4
15098,SURG,Medium,Resolved,36,2025-10-01 02:27:19.204340,2025-10-01 12:37:06.505492,7
15099,CARD,Low,Resolved,103,2026-02-28 22:26:19.204340,2026-03-01 12:45:31.903045,7
15100,ICU,Low,Resolved,22,2025-08-11 23:58:19.204340,2025-08-12 17:50:19.951406,1
15101,PEDS,High,Resolved,68,2025-11-06 10:16:19.204340,2025-11-06 19:47:44.725675,4
15102,CARD,High,Resolved,93,2025-04-07 18:35:19.204340,2025-04-08 00:35:32.444631,8
15103,SURG,Medium,Resolved,36,2025-05-20 04:29:19.204340,2025-05-20 09:59:43.233482,5
15104,ER,Low,Resolved,1,2025-12-29 07:20:19.204340,2025-12-30 16:58:09.629145,5
15105,SURG,Medium,Resolved,37,2025-11-20 02:19:19.204340,2025-11-20 06:37:58.812498,2
15106,PEDS,Low,Resolved,63,2025-04-24 01:07:19.204340,2025-04-25 10:40:10.665274,3
15107,ER,High,Resolved,4,2026-02-26 02:22:19.204340,2026-02-26 09:43:23.057013,1
15108,PEDS,Low,Resolved,63,2025-09-15 06:37:19.204340,2025-09-17 06:23:45.616084,7
15109,OPD,Medium,Resolved,52,2025-03-30 02:24:19.204340,2025-03-30 20:51:25.923864,1
15110,ER,Medium,Resolved,5,2025-06-02 12:08:19.204340,2025-06-02 17:22:34.660175,5
15111,RAD,Low,Resolved,84,2025-06-04 02:58:19.204340,2025-06-05 02:19:15.690865,7
15112,PEDS,Low,Resolved,70,2025-03-22 19:31:19.204340,2025-03-25 00:48:56.457157,7
15113,ER,Low,Resolved,13,2025-10-24 17:54:19.204340,2025-10-28 11:49:07.841356,1
15114,SURG,Medium,Resolved,32,2025-11-03 04:27:19.204340,2025-11-03 11:52:09.752433,6
15115,CARD,Medium,Resolved,96,2025-08-25 02:19:19.204340,2025-08-25 14:34:10.760941,9
15116,ER,Medium,Resolved,9,2025-11-04 06:30:19.204340,2025-11-04 20:47:19.418985,9
15117,RAD,High,Resolved,76,2025-07-27 04:17:19.204340,2025-07-27 07:45:26.319295,9
15118,ICU,Medium,Resolved,19,2025-09-08 05:42:19.204340,2025-09-08 14:00:18.834864,5
15119,RAD,Low,Resolved,82,2025-05-11 01:07:19.204340,2025-05-13 09:42:36.988306,7
15120,SURG,Medium,Resolved,41,2025-09-22 13:39:19.204340,2025-09-22 20:59:48.136025,5
15121,PEDS,Low,Resolved,75,2025-06-10 03:19:19.204340,2025-06-10 16:04:38.891187,5
15122,RAD,Low,Resolved,78,2026-02-11 22:12:19.204340,2026-02-13 09:13:17.798888,1
15123,SURG,Medium,Resolved,38,2025-04-15 18:35:19.204340,2025-04-16 08:39:33.012445,9
15124,RAD,Medium,Resolved,85,2025-10-12 02:08:19.204340,2025-10-12 22:09:33.393977,7
15125,ICU,Medium,Resolved,28,2025-07-04 06:48:19.204340,2025-07-04 13:10:24.315633,8
15126,OPD,Low,Resolved,47,2025-12-14 02:49:19.204340,2025-12-15 02:16:10.853833,2
15127,SURG,Medium,Resolved,37,2025-09-30 04:26:19.204340,2025-09-30 10:54:33.809443,9
15128,SURG,Medium,Resolved,31,2025-10-25 04:20:19.204340,2025-10-25 17:35:17.341453,8
15129,OPD,High,Resolved,55,2026-01-13 02:37:19.204340,2026-01-13 06:46:46.841600,5
15130,OPD,Low,Resolved,55,2026-01-30 02:07:19.204340,2026-01-31 18:23:41.008215,6
15131,OPD,Medium,Resolved,50,2025-09-05 19:28:19.204340,2025-09-06 04:36:18.544456,1
15132,ER,Medium,Resolved,4,2026-02-11 10:18:19.204340,2026-02-11 20:14:01.780944,1
15133,OPD,Medium,Resolved,46,2025-10-31 04:14:19.204340,2025-10-31 17:43:10.420429,2
15134,SURG,High,Resolved,33,2025-05-16 06:58:19.204340,2025-05-16 10:21:59.035709,7
15135,RAD,Medium,Resolved,86,2025-05-20 11:38:19.204340,2025-05-21 16:19:49.405189,3
15136,ICU,Low,Resolved,30,2025-10-17 14:46:19.204340,2025-10-18 11:19:23.299200,9
15137,PEDS,Medium,Resolved,69,2025-06-14 03:40:19.204340,2025-06-14 13:39:34.547128,10
15138,RAD,Low,Resolved,87,2025-10-06 12:39:19.204340,2025-10-07 08:50:55.404974,3
15139,CARD,High,Resolved,98,2026-02-12 20:02:19.204340,2026-02-13 02:27:47.971887,6
15140,ICU,Medium,Resolved,26,2025-07-03 03:58:19.204340,2025-07-03 13:03:19.378767,10
15141,PEDS,High,Resolved,68,2025-03-29 21:39:19.204340,2025-03-30 00:58:14.973252,10
15142,CARD,Low,Resolved,103,2025-10-17 00:38:19.204340,2025-10-17 18:59:32.839293,1
15143,CARD,Medium,Resolved,96,2025-06-19 23:34:19.204340,2025-06-20 04:05:42.380545,2
15144,RAD,Medium,Resolved,81,2025-04-22 23:56:19.204340,2025-04-23 15:07:30.155405,6
15145,PEDS,High,Resolved,63,2025-10-10 03:14:19.204340,2025-10-10 05:47:17.714501,1
15146,PEDS,Medium,Resolved,61,2025-10-28 23:01:19.204340,2025-10-29 10:08:07.376941,6
15147,OPD,High,Resolved,53,2026-02-13 03:21:19.204340,2026-02-13 14:31:38.927085,1
15148,ER,Low,Resolved,12,2025-08-23 20:40:19.204340,2025-08-25 06:02:38.326220,7
15149,PEDS,Medium,Resolved,71,2025-08-20 12:47:19.204340,2025-08-20 23:48:00.493661,9
15150,OPD,Medium,Resolved,50,2025-11-11 00:36:19.204340,2025-11-12 01:45:16.858418,4
15151,ICU,Medium,Resolved,24,2026-02-12 00:45:19.204340,2026-02-12 17:31:42.882861,5
15152,ICU,Low,Resolved,19,2025-11-11 23:46:19.204340,2025-11-13 20:48:11.544247,10
15153,RAD,Medium,Resolved,88,2025-12-04 02:58:19.204340,2025-12-04 11:03:50.544849,2
15154,ICU,Medium,Resolved,22,2025-08-16 07:09:19.204340,2025-08-16 13:59:14.305451,9
15155,RAD,Low,Resolved,80,2025-07-07 03:26:19.204340,2025-07-08 18:18:15.325054,2
15156,PEDS,Low,Resolved,71,2025-10-01 04:46:19.204340,2025-10-02 02:48:30.076887,6
15157,SURG,High,Resolved,35,2025-08-04 01:50:19.204340,2025-08-04 02:36:58.819523,4
15158,RAD,Low,Resolved,84,2025-09-05 04:41:19.204340,2025-09-06 00:16:39.067379,6
15159,PEDS,Low,Resolved,67,2025-07-03 06:47:19.204340,2025-07-03 17:48:20.880083,1
15160,SURG,Low,Resolved,34,2025-10-02 09:34:19.204340,2025-10-03 12:00:02.016069,1
15161,ER,High,Resolved,11,2025-07-07 20:24:19.204340,2025-07-08 01:32:19.651438,2
15162,SURG,Low,Resolved,43,2025-10-07 12:54:19.204340,2025-10-09 19:53:56.949297,5
15163,CARD,Medium,Resolved,99,2025-08-26 23:35:19.204340,2025-08-27 11:28:14.576188,2
15164,RAD,Low,Resolved,78,2025-05-01 01:04:19.204340,2025-05-02 18:58:12.090752,9
15165,OPD,Low,Resolved,53,2025-09-04 03:31:19.204340,2025-09-05 11:58:53.401874,9
15166,PEDS,Medium,Resolved,73,2025-10-16 05:12:19.204340,2025-10-16 08:47:50.688621,8
15167,ICU,Medium,Resolved,17,2026-01-18 02:30:19.204340,2026-01-18 06:58:02.055369,8
15168,OPD,Low,Resolved,57,2025-09-22 12:09:19.204340,2025-09-25 06:24:25.736740,4
15169,OPD,High,Resolved,48,2025-06-19 05:54:19.204340,2025-06-19 09:25:19.995206,10
15170,ER,High,Resolved,12,2026-01-05 06:52:19.204340,2026-01-05 08:00:59.909555,8
15171,RAD,Low,Resolved,83,2025-05-10 06:35:19.204340,2025-05-11 20:39:57.686359,7
15172,ER,Medium,Resolved,4,2025-06-24 03:49:19.204340,2025-06-25 01:38:24.679988,7
15173,PEDS,Medium,Resolved,68,2025-07-01 21:51:19.204340,2025-07-02 02:14:46.375347,1
15174,ICU,Medium,Resolved,16,2025-03-31 06:13:19.204340,2025-03-31 16:01:20.657562,5
15175,PEDS,Medium,Resolved,68,2025-12-28 03:37:19.204340,2025-12-28 20:41:03.063201,10
15176,ER,Low,Resolved,9,2025-08-21 21:42:19.204340,2025-08-22 23:50:52.537389,8
15177,OPD,Medium,Resolved,47,2025-07-18 01:48:19.204340,2025-07-18 14:37:57.378339,10
15178,CARD,High,Resolved,102,2025-06-03 05:17:19.204340,2025-06-03 06:31:28.820942,7
15179,OPD,Medium,Resolved,56,2025-04-13 03:04:19.204340,2025-04-13 07:23:27.865272,6
15180,ICU,Medium,Resolved,21,2025-11-25 05:03:19.204340,2025-11-25 18:12:14.463679,3
15181,PEDS,Medium,Resolved,72,2025-07-15 22:42:19.204340,2025-07-16 13:13:10.913672,5
15182,ER,Medium,Resolved,10,2026-01-29 03:50:19.204340,2026-01-29 11:01:58.235826,4
15183,SURG,Medium,Resolved,45,2025-11-26 01:35:19.204340,2025-11-26 15:34:24.079493,1
15184,CARD,Medium,Resolved,100,2025-05-25 03:58:19.204340,2025-05-25 23:50:01.027783,7
15185,RAD,Medium,Resolved,90,2025-04-15 10:11:19.204340,2025-04-15 23:20:36.224243,6
15186,RAD,Medium,Resolved,80,2025-10-18 08:31:19.204340,2025-10-18 22:17:30.149605,4
15187,ICU,Medium,Resolved,24,2025-09-29 02:10:19.204340,2025-09-29 08:19:26.806698,9
15188,RAD,Low,Resolved,84,2025-07-09 22:52:19.204340,2025-07-11 11:55:00.015729,2
15189,RAD,Low,Resolved,79,2025-09-19 04:21:19.204340,2025-09-21 05:38:29.224612,5
15190,CARD,Low,Resolved,105,2025-11-15 10:24:19.204340,2025-11-17 12:36:19.794039,2
15191,ICU,Medium,Resolved,19,2025-10-09 04:00:19.204340,2025-10-09 17:00:05.132617,7
15192,SURG,High,Resolved,41,2025-03-26 04:06:19.204340,2025-03-26 05:43:09.499571,3
15193,ER,Low,Resolved,9,2025-10-28 05:55:19.204340,2025-10-29 05:32:37.438627,2
15194,PEDS,Medium,Resolved,71,2026-01-15 22:01:19.204340,2026-01-16 08:11:05.842574,7
15195,ICU,Medium,Resolved,30,2025-07-15 03:34:19.204340,2025-07-15 17:28:34.122391,10
15196,PEDS,Medium,Resolved,66,2025-12-02 10:08:19.204340,2025-12-03 03:38:35.661548,9
15197,OPD,Low,Resolved,59,2025-08-23 07:09:19.204340,2025-08-24 23:26:37.376858,4
15198,ER,Medium,Resolved,10,2025-09-03 03:38:19.204340,2025-09-03 07:20:50.165117,10
15199,OPD,High,Resolved,57,2025-04-24 20:38:19.204340,2025-04-25 01:36:05.823061,6
15200,ER,Medium,Resolved,14,2026-02-24 17:40:19.204340,2026-02-25 08:01:45.179616,5
15201,ICU,High,Resolved,21,2025-06-23 23:10:19.204340,2025-06-24 00:35:12.416294,1
15202,RAD,High,Resolved,78,2025-09-18 09:31:19.204340,2025-09-18 13:13:10.099876,10
15203,PEDS,Low,Resolved,64,2025-07-17 06:24:19.204340,2025-07-18 17:57:23.513556,6
15204,CARD,Medium,Resolved,91,2025-07-02 05:24:19.204340,2025-07-02 23:06:14.362529,7
15205,ER,Medium,Resolved,15,2025-08-11 08:39:19.204340,2025-08-12 03:57:23.872799,8
15206,SURG,Medium,Resolved,39,2025-07-05 00:16:19.204340,2025-07-05 15:28:17.752735,2
15207,ER,High,Resolved,8,2025-06-08 10:33:19.204340,2025-06-08 16:50:16.121572,2
15208,PEDS,High,Resolved,65,2025-07-19 04:08:19.204340,2025-07-19 05:08:47.056406,4
15209,CARD,Medium,Resolved,102,2025-03-08 06:20:19.204340,2025-03-08 14:49:38.852405,8
15210,SURG,Medium,Resolved,40,2025-07-28 05:02:19.204340,2025-07-28 15:04:18.319417,2
15211,SURG,Medium,Resolved,43,2025-03-31 22:23:19.204340,2025-04-01 14:06:19.745446,5
15212,RAD,Medium,Resolved,78,2025-05-06 02:50:19.204340,2025-05-06 10:49:32.281049,5
15213,ICU,Medium,Resolved,30,2025-04-14 04:03:19.204340,2025-04-14 14:57:47.258072,1
15214,OPD,Medium,Resolved,46,2025-10-06 02:05:19.204340,2025-10-06 15:39:50.355464,2
15215,ICU,Low,Resolved,24,2025-08-15 01:30:19.204340,2025-08-16 20:31:06.819674,9
15216,ICU,Low,Resolved,24,2026-02-08 23:19:19.204340,2026-02-10 01:20:41.789267,7
15217,RAD,Low,Resolved,83,2025-08-31 07:39:19.204340,2025-09-02 12:34:10.892783,7
15218,SURG,Low,Resolved,34,2025-06-22 01:14:19.204340,2025-06-24 14:02:25.164238,7
15219,ICU,Low,Resolved,30,2026-02-26 22:33:19.204340,2026-02-28 22:25:15.376755,4
15220,RAD,Medium,Resolved,82,2025-09-01 03:22:19.204340,2025-09-01 13:34:33.808245,9
15221,ICU,Low,Resolved,19,2025-04-24 09:39:19.204340,2025-04-25 13:13:22.555438,9
15222,CARD,High,Resolved,95,2026-01-31 05:47:19.204340,2026-01-31 07:59:19.311734,9
15223,ER,Medium,Resolved,9,2025-04-14 04:12:19.204340,2025-04-14 22:30:33.515309,4
15224,CARD,Medium,Resolved,94,2025-06-15 02:05:19.204340,2025-06-15 05:09:49.901244,4
15225,SURG,Medium,Resolved,32,2026-02-13 23:02:19.204340,2026-02-14 21:27:29.252223,10
15226,ICU,High,Resolved,26,2025-04-15 22:06:19.204340,2025-04-16 02:36:38.207718,1
15227,SURG,Medium,Resolved,35,2026-02-27 03:30:19.204340,2026-02-27 21:15:50.065866,10
15228,SURG,Low,Resolved,31,2025-06-30 05:51:19.204340,2025-07-03 11:12:41.738945,2
15229,OPD,Medium,Resolved,48,2026-01-11 07:57:19.204340,2026-01-11 16:09:51.895712,7
15230,ER,Medium,Resolved,10,2026-01-25 05:11:19.204340,2026-01-25 16:35:05.424614,9
15231,SURG,Low,Resolved,43,2025-11-09 06:31:19.204340,2025-11-10 07:19:25.576476,4
15232,PEDS,Low,Resolved,65,2025-05-19 08:55:19.204340,2025-05-20 11:41:34.573437,5
15233,OPD,Medium,Resolved,58,2025-05-27 06:27:19.204340,2025-05-27 21:18:46.076789,8
15234,ICU,Medium,Resolved,30,2026-02-28 06:11:19.204340,2026-02-28 09:59:19.003076,9
15235,CARD,Medium,Resolved,91,2026-01-21 04:36:19.204340,2026-01-21 22:43:57.554700,1
15236,ER,Low,Resolved,5,2026-02-23 03:21:19.204340,2026-02-24 19:26:50.809175,5
15237,CARD,Low,Resolved,103,2025-09-16 23:15:19.204340,2025-09-18 04:10:01.676546,3
15238,CARD,Medium,Resolved,92,2026-01-14 05:36:19.204340,2026-01-14 13:58:28.886412,3
15239,PEDS,Low,Resolved,62,2025-07-03 03:48:19.204340,2025-07-04 09:27:10.021724,5
15240,CARD,Low,Resolved,93,2025-10-11 01:13:19.204340,2025-10-12 11:34:48.193771,10
15241,PEDS,Low,Resolved,63,2026-02-06 11:31:19.204340,2026-02-07 14:26:13.225360,1
15242,SURG,Low,Resolved,32,2025-05-04 04:20:19.204340,2025-05-06 01:00:11.156657,10
15243,ER,Low,Resolved,1,2025-07-15 04:15:19.204340,2025-07-16 07:10:54.111318,3
15244,RAD,Medium,Resolved,81,2025-09-03 05:18:19.204340,2025-09-03 19:51:34.641784,8
